transaction_id,posting_date,account_id,cost_center_id,profit_center_id,document_type,reference_id,amount,debit_credit,status
GL-10001,2026-07-21,630000,CC-2002,PC-200,AP Invoice,AP-2000,20030.09,Debit,Posted
GL-10002,2026-07-24,500000,CC-1001,PC-100,AP Invoice,AP-2001,31532.88,Debit,Posted
GL-10004,2026-07-21,620000,CC-3002,PC-300,AP Invoice,AP-2003,35479.86,Debit,Suspense
GL-10005,2026-07-04,600000,CC-1001,PC-100,AP Invoice,AP-2004,20542.17,Debit,Posted
GL-10006,2026-07-11,630000,CC-2001,PC-200,AP Invoice,AP-2005,41741.04,Debit,Posted
GL-10007,2026-07-18,630000,CC-3002,PC-300,AP Invoice,AP-2006,37112.89,Debit,Posted
GL-10008,2026-07-12,640000,CC-1001,PC-100,AP Invoice,AP-2007,10612.12,Debit,Posted
GL-10009,2026-07-15,500000,CC-1001,PC-100,AP Invoice,AP-2008,3339.87,Debit,Posted
GL-10010,2026-07-23,610000,CC-1002,PC-100,AP Invoice,AP-2009,28609.07,Debit,Posted
GL-10011,2026-07-21,610000,CC-3001,PC-300,AP Invoice,AP-2010,16276.41,Debit,Posted
GL-10012,2026-07-27,620000,CC-2002,PC-200,AP Invoice,AP-2011,40243.89,Debit,Posted
GL-10013,2026-07-22,500000,CC-1001,PC-100,AP Invoice,AP-2012,9161.42,Debit,Posted
GL-10014,2026-07-13,500000,CC-2002,PC-200,AP Invoice,AP-2013,2449.27,Debit,Posted
GL-10015,2026-07-05,620000,CC-3002,PC-300,AP Invoice,AP-2014,30895.68,Debit,Posted
GL-10016,2026-07-21,640000,CC-1001,PC-100,AP Invoice,AP-2015,43554.18,Debit,Posted
GL-10017,2026-07-09,600000,CC-3001,PC-300,AP Invoice,AP-2016,16985.46,Debit,Posted
GL-10018,2026-07-13,640000,CC-2001,PC-200,AP Invoice,AP-2017,8931.48,Debit,Suspense
GL-10019,2026-07-04,610000,CC-1001,PC-100,AP Invoice,AP-2018,21668.87,Debit,Posted
GL-10020,2026-07-07,610000,CC-1002,PC-100,AP Invoice,AP-2019,30306.72,Debit,Posted
GL-10021,2026-07-12,640000,CC-1002,PC-100,AP Invoice,AP-2020,37554.18,Debit,Posted
GL-10022,2026-07-19,640000,CC-3002,PC-300,AP Invoice,AP-2021,14400.32,Debit,Posted
GL-10023,2026-07-23,640000,CC-2002,PC-200,AP Invoice,AP-2022,36312.01,Debit,Posted
GL-10024,2026-07-11,630000,CC-1002,PC-100,AP Invoice,AP-2023,13330.6,Debit,Posted
GL-10025,2026-07-19,630000,CC-1001,PC-100,AP Invoice,AP-2024,6718.99,Debit,Posted
GL-10026,2026-07-06,500000,CC-3002,PC-300,AP Invoice,AP-2025,827.62,Debit,Posted
GL-10027,2026-07-22,640000,CC-2002,PC-200,AP Invoice,AP-2026,30085.86,Debit,Posted
GL-10028,2026-07-20,600000,CC-2002,PC-200,AP Invoice,AP-2027,35242.44,Debit,Unposted
GL-10029,2026-07-13,640000,CC-2001,PC-200,AP Invoice,AP-2028,25808.98,Debit,Posted
GL-10030,2026-07-04,620000,CC-1001,PC-100,AP Invoice,AP-2029,5596.59,Debit,Posted
GL-10031,2026-07-19,630000,CC-3001,PC-300,AP Invoice,AP-2030,21463.78,Debit,Posted
GL-10032,2026-07-16,500000,CC-2002,PC-200,AP Invoice,AP-2031,34542.45,Debit,Posted
GL-10033,2026-07-18,610000,CC-3002,PC-300,AP Invoice,AP-2032,25134.28,Debit,Posted
GL-10034,2026-07-16,500000,CC-2002,PC-200,AP Invoice,AP-2033,14025.78,Debit,Posted
GL-10035,2026-07-01,600000,CC-3002,PC-300,AP Invoice,AP-2034,19933.92,Debit,Posted
GL-10036,2026-07-06,640000,CC-1001,PC-100,AP Invoice,AP-2035,18679.52,Debit,Posted
GL-10037,2026-07-24,640000,CC-2001,PC-200,AP Invoice,AP-2036,10029.49,Debit,Posted
GL-10038,2026-07-02,600000,CC-1002,PC-100,AP Invoice,AP-2037,13021.58,Debit,Posted
GL-10039,2026-07-08,630000,CC-1001,PC-100,AP Invoice,AP-2038,29955.28,Debit,Posted
GL-10041,2026-07-18,600000,CC-1002,PC-100,AP Invoice,AP-2040,18584.22,Debit,Posted
GL-10043,2026-07-01,600000,CC-1002,PC-100,AP Invoice,AP-2042,4507.13,Debit,Posted
GL-10044,2026-07-20,610000,CC-3001,PC-300,AP Invoice,AP-2043,21053.54,Debit,Posted
GL-10045,2026-07-05,610000,CC-2002,PC-200,AP Invoice,AP-2044,22796.49,Debit,Posted
GL-10046,2026-07-05,500000,CC-1002,PC-100,AP Invoice,AP-2045,31486.26,Debit,Posted
GL-10047,2026-07-13,610000,CC-3002,PC-300,AP Invoice,AP-2046,17455.44,Debit,Posted
GL-10048,2026-07-09,500000,CC-2002,PC-200,AP Invoice,AP-2047,28547.58,Debit,Posted
GL-10050,2026-07-04,610000,CC-3001,PC-300,AP Invoice,AP-2049,43304.45,Debit,Posted
